,,,EM-III,OC,ME&SM,BEEE,CPC,OC LA,ME LA,
,,,Enginee ring Mathem atics-III,Organic Chemist ry,Mechani cal Enginee ring and,Basic Electric al and Electron,Chemic al Process Calculat,Organic Chemist ry Laborat,Mechani cal Enginee ring,
317126510104,7.71,8.10,A,B,A,B+,B+,A+,A+,A+
317126510105,8.33,8.22,A,A,A+,A,A+,B+,A,A+
317126510107,8.17,8.31,A,B+,A,A+,B+,A+,A+,O
317126510108,,,F,P,P,P,P,B+,B+,B+
317126510110,8.04,8.06,A,B+,A+,A,A,A,A+,B+
317126510111,,,P,F,C,C,F,B+,A,B+
317126510112,8.33,7.96,A,A,A+,A,A+,A+,A,B+
317126510113,8.50,8.18,A,A,O,A,O,B+,A,B+
317126510114,,,P,F(Ab,P,F,F,B+,B+,F
317126510115,,,C,F,P,P,P,F,B+,B
317126510116,8.54,8.48,A,A,A,A+,A+,A+,O,A
317126510117,8.25,8.28,B+,A,A+,A,A+,A,A+,A
317126510118,9.46,9.10,A+,A,O,A+,O,O,O,O
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510119,7.83,7.27,A,B,B+,A,A+,A+,A,A
317126510120,,,P,F,P,P,F,B+,B+,C
317126510121,8.96,8.64,A+,A,A,A+,O,O,A+,A+
317126510122,7.71,7.81,B+,C,A+,A,A,A,A+,A
317126510123,9.17,8.96,A+,A+,A+,A+,A+,O,O,A+
317126510124,8.13,7.85,A,A,A+,B+,A,A,O,B+
317126510125,9.50,9.04,O,A+,O,A+,A+,O,O,A+
317126510126,6.00,6.70,A,P,B,P,C,B+,A,B+
317126510127,9.54,9.40,A+,O,O,A+,A+,O,O,O
317126510128,,,B,F,B+,C,B,B,B+,F
317126510129,9.08,8.87,A+,A+,O,B+,A+,A+,O,O
317126510130,8.17,8.10,A+,B+,A,B+,A,A+,A,O
317126510131,9.38,8.87,O,A,O,A+,A+,A+,O,O
317126510132,8.92,8.87,A+,A+,A+,B+,A+,A+,O,O
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510133,8.25,8.24,A+,A,A+,A,A,B+,A+,B+
317126510134,8.04,7.90,A,B+,A+,A,A,B+,A+,A
317126510135,9.08,8.99,A+,A,O,A,A+,O,O,A+
317126510136,7.29,7.30,B+,C,A,B,B+,A+,A+,A+
317126510137,8.17,7.99,A,A,A,A,A,A,A+,A+
317126510138,,,C,F,F(Ab,F,F(Ab,B+,F,B+
317126510139,9.38,9.03,O,A+,A+,A,O,O,O,A+
317126510140,9.58,9.33,O,A+,O,A+,A+,O,O,O
317126510141,,,P,P,C,P,F,B+,B,B+
317126510142,6.46,,B+,P,B+,B+,B,A,B,B+
317126510143,8.38,8.18,A,B+,A+,A,A,A,O,O
317126510144,9.04,8.46,A+,A,A+,A+,A+,A+,O,O
317126510145,8.63,7.93,A+,A,A+,A+,A,A+,A+,A
317126510146,7.75,7.69,A,B+,A,B+,A,B+,A+,A
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510147,5.92,,C,P,B+,P,B+,A,B,B+
317126510148,8.21,8.04,A,B+,A+,A,A,A,A+,A+
317126510149,8.00,7.61,A+,B+,A,B+,B+,A+,A+,A+
317126510150,9.33,8.79,A+,A+,O,A+,A+,O,O,A+
317126510151,7.58,7.58,A,C,A,B+,A,A,A+,A
317126510152,8.67,8.19,A+,A,A+,A,A,A+,O,A+
317126510153,,,B+,P,A,B+,B+,F,B,B+
317126510154,5.75,,P,P,A,P,B+,B,B+,B
317126510156,9.21,9.27,A+,B+,O,A,O,O,O,O
317126510157,8.38,8.06,B+,B+,O,A,A,A+,O,A+
317126510158,8.96,8.52,A+,B+,O,A,A+,O,A+,O
317126510159,,,P,F,B,C,C,F,B+,B+
317126510160,7.88,8.04,A,B+,A,A,A,B+,A+,A
317126510161,5.71,,C,P,B+,B+,P,B+,C,A
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510162,,,B,C,B+,C,F,A+,O,A
317126510163,7.46,6.85,B+,B+,B+,B,A,A,A+,A+
317126510164,,,F,F,F,F,F,C,C,F
317126510165,9.13,8.90,A+,A,O,A+,A+,A+,A+,O
317126510166,8.17,7.79,A,B+,A+,B+,A,A,O,A+
317126510167,7.63,7.85,A,B,A,B+,B+,A+,A+,A
317126510168,9.17,8.60,A+,A+,O,A+,A+,A,O,A+
317126510169,8.63,8.33,A+,A,A+,A+,A,A+,A+,A
317126510170,9.58,9.12,A+,A+,O,A+,O,O,O,O
317126510171,7.63,7.39,B+,B+,A,A,B+,A,A,A+
317126510172,7.79,7.42,B+,A,A+,B+,B+,A,A+,A
317126510174,8.75,8.60,A+,A,A+,A,A+,A+,A+,A+
317126510175,8.88,8.04,O,B+,A+,A,A,O,O,O
317126510176,9.75,9.54,O,O,O,A,O,O,O,O
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510177,8.38,8.33,A,B+,A+,A,A+,A,A+,A+
317126510178,9.21,8.69,A+,A+,O,A,A+,A+,O,O
317126510179,9.29,9.18,A+,A+,O,A,A+,O,O,O
317126510180,9.25,8.96,A+,A+,A+,A+,A+,O,O,O
318126510L01,6.29,6.29,B,B,B+,C,C,A,A,B+
318126510L02,7.92,7.92,A+,B+,A,B+,A,A,A+,B+
318126510L03,,,F,C,B+,B,B,A+,B,F
318126510L04,,,F,F,B+,P,F,A,B+,B
318126510L05,7.71,7.71,A,A,A,B+,B,A+,A+,A
318126510L06,,,C,F,B+,B,F,A+,A,B
318126510L07,5.29,5.29,B,C,C,P,C,B+,B,C
318126510L09,6.88,6.88,A,B+,A,P,B,A,A+,C
318126510L10,6.88,6.88,B+,C,B+,A,C,A+,A,A
318126510L11,,,B+,F,B,C,F,A,A,C
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
318126510L12,7.75,7.75,A,B+,A,A+,B,A+,A+,B+
318126510L13,7.38,7.38,B+,B+,A,A,B,A,A,A
318126510L14,,,P,C,C,C,F,B+,A+,B
318126510L15,,,F,F,F,F,F,F,B+,B+
